Vocab,English definition
うち,home; house; my place
がっこう,school
カフェ,cafe
あした,tomorrow
きょう,today
あさ,morning
よねんせい,fourth-year student
ちょっと,a little
きゅうさい,nine years old
ここのつ,nine (～つ)
いい,good
はやい,early
そうですね,That's right.; Let me see.
でも,but
どうですか,How about...?; How is...?
ええ,yes
じゅう／とお,ten
じゅうじ,ten o'clock
じゅうがつ,October
じゅっさい／じっさい,ten years old
ひゃく,hundred
さんびゃく,three hundred
ろっぴゃく,six hundred
はっぴゃく,eight hundred
せん,thousand
さんぜん,three thousand
はっせん,eight thousand
せんえん,one thousand yen
いちまん,ten thousand
じゅうまん,one hundred thousand
ひゃくまん,one million
ひゃくえん,one hundred yen
えん,circle
えんだか,strong yen
まるい,round
いちじ,one o'clock
じかん,time; ...hours
こどものとき,in one's childhood
ときどき,sometimes
とけい,watch
みず,water
ろく,six
やっつ,eight (～つ)
きゅう,nine
くじ,nine o'clock
くがつ,September
えいが,movie
おさけ,sake; alcoholic drink
にちようび,Sunday
きく,to listen; to hear (～を)
のむ,to drink (～を)
にじ,two o'clock
ふつかかん,two days
さんねんせい,third-year student
おきる,to get up
べんきょうする,to study (～を)
よん,four
よじ,four o'clock
しがつ,April
よっつ,four (～つ)
ご,five
ごじ,five o'clock
ごがつ,May
ごさい,five years old
いつつ,five (～つ)
ろくじ,six o'clock
ろっぴゃく,six hundred
ろっぷん,six minutes
むっつ,six (～つ)
あまり,not much
ぜんぜん,not at all
たいてい,usually
ときどき,sometimes
よく,often; much
しち／なな,seven
しちじ,seven o'clock
しちがつ,July
ななつ,seven (～つ)
ななにん／しちにん,seven people
はち,eight
はちじ,eight o'clock
はっぴゃく,eight hundred
はっさい,eight years old
ざっし,magazine
スポーツ,sports
デート,"date (romantic, not calendar)"
テニス,tennis
テレビ,TV
おちゃ,green tea
いえ,home; house
こんばん,tonight
まいにち,every day
まいばん,every night
どようび,Saturday
いつ,when
～ごろ,at about...
いく,to go (destination に/へ)
かえる,to go back; to return (destination に/へ)
はなす,to speak; to talk (language を/で)
よむ,to read (～を)
いち,one
いちじ,one o'clock
いちねんせい,first-year student
いっぷん,one minute
ひとつ,one (～つ)
に,two
にねんせい,second-year student
ふたつ,two (～つ)
さん,three
さんじ,three o'clock
さんがつ,March
みっつ,three (～つ)
たべる,to eat (～を)
ねる,to sleep; to go to sleep
みる,to see; to look at; to watch (～を)
くる,to come (destination に/へ)
する,to do (～を)
