Vocab,English definition
だいがく,college; university
こうこう,high school
がくせい,student
だいがくせい,college student
りゅうがくせい,international student
せんせい,teacher; professor
～ねんせい,...year student
いちねんせい,first-year student
せんこう,major
わたし,I
ともだち,friend
～さん,Mr./Ms. ...
～じん,...people
にほんじん,Japanese people
いま,now
ごぜん,A.M.
ごご,P.M.
～じ,o'clock
いちじ,one o'clock
はん,half
にじはん,half past two
にほん,Japan
アメリカ,U.S.A.
～ご,...language
にほんご,Japanese language
～さい,...years old
でんわ,telephone
～ばん,number...
ばんごう,number
なまえ,name
なん／なに,what
あのう,um...
はい,yes
そうです,That's right.
そうですか,I see.; Is that so?
イギリス,Britain
オーストラリア,Australia
かんこく,Korea
カナダ,Canada
ちゅうごく,China
インド,India
エジプト,Egypt
フィリピン,Philippines
にほん,Japan
アメリカ,U.S.A.
くに,Country
アジアけんきゅう,Asian studies
けいざい,economics
こうがく,engineering
こくさいかんけい,international relations
コンピューター,computer
せいじ,politics
せいぶつがく,biology
ビジネス,business
ぶんがく,literature
れきし,history
せんこう,major
いしゃ,doctor
かいしゃいん,office worker
かんごし,nurse
こうこうせい,high school student
しゅふ,housewife
だいがくいんせい,graduate student
べんごし,lawyer
しごと,job; occupation
おかあさん,mother
おとうさん,father
おねえさん,older sister
おにいさん,older brother
いもうと,younger sister
おとうと,younger brother
かぞく,family
～ねんせい,...year student
いちねんせい,first-year student
にねんせい,second-year student
さんねんせい,third-year student
よねんせい,fourth-year student
ごねんせい,fifth-year student
ろくねんせい,sixth-year student
～さい,...years old
いっさい,one year old
にさい,two years old
さんさい,three years old
よんさい,four years old
ごさい,five years old
ろくさい,six years old
ななさい,seven years old
はっさい,eight years old
きゅうさい,nine years old
じ(ゅ)っさい,ten years old
じゅういっさい,eleven years old
はたち／にじ(ゅ)っさい,twenty years old
にじゅういっさい,twenty-one years old
さんじゅうごさい,thirty-five years old
よんじ(ゅ)っさい,forty years old
いちじ,01:00
にじ,02:00
さんじ,03:00
よじ,04:00
ごじ,05:00
ろくじ,06:00
しちじ,07:00
はちじ,08:00
くじ,09:00
じゅうじ,10:00
じゅういちじ,11:00
じゅうにじ,12:00
いちじはん,01:30
いっぷん,00:01
にふん,00:02
さんぷん,00:03
よんぷん,00:04
ごふん,00:05
ろっぷん,00:06
ななふん,00:07
はっぷん／はちふん,00:08
きゅうふん,00:09
じ(ゅ)っぷん,00:10
じゅういっぷん,00:11
じゅうにふん,00:12
じゅうさんぷん,00:13
じゅうよんぷん,00:14
じゅうごふん,00:15
じゅうろっぷん,00:16
じゅうななふん,00:17
じゅうはっぷん／じゅうはちふん,00:18
じゅうきゅうふん,00:19
にじ(ゅ)っぷん,00:20
さんじ(ゅ)っぷん,00:30
